id;ip;Q1;Q2A;Q2B;Q2C;Q2D;Q2E;Q2F;Q3A;Q3B;Q4A;Q4B;Q4C;Q5A;Q5B;Q5C;Q5D;Q5E;Q5F;Q5G;Q5H;Q6A;Q6B;Q7A;Q7B;Q7C;Q7D;Q7E;Q7F;Q7G;Q7H;Q7I;Q8A;Q8B;Q8C;Q8D;Q8E;Q8F;Q8G;Q8H;Q9;Q10;Q11A;Q11B;Q12A;Q12B;Q13A;Q13B;Q14
1000;96.22.159.244;Peut-être;Oui;Oui;Non;Non;Non;;;;Q46;Q42;Q41;;;;;;;;;Q61;Q62;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Oui;Non;Non;Oui;Non;Non;;Baccalauréat;14;Industriel;;Une femme;;Citoyen canadien;;
1003;74.56.68.43;Peut-être;Oui;Non;Non;Non;Non;;;;Q47;Q46;Q41;4;3;5;5;5;5;5;5;Q62;Q63;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;;Oui;Non;Non;Non;Non;Non;Non;;Baccalauréat;83;Logiciel;;Une femme;;Citoyen canadien;;
1006;162.222.80.134;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Non;Non;Oui;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Non;Oui;;Baccalauréat;84;Logiciel;;Une femme;;Citoyen canadien;;
1007;70.81.130.17;Non;Non;Non;Oui;Non;Non;;;;;;;;;;;;;;;;;Oui;Non;Non;Non;Non;Non;Non;Non;;Non;Oui;Non;Non;Oui;Oui;Non;;Baccalauréat;90;Mécanique;;Un homme;;Étudiant étranger;;
1015;135.19.49.187;Peut-être;Non;Non;Non;Non;Oui;;;;Q46;Q41;Q42;1;1;3;3;4;1;1;5;Q61;Q62;Oui;Non;Non;Oui;Non;Oui;Oui;Non;;Non;Non;Non;Non;Non;Non;Oui;;Baccalauréat;32;Aérospatial;;Un homme;;Citoyen canadien;;
1019;81.67.24.51;Peut-être;Oui;Non;Oui;Non;Non;;;;Q41;Q46;Q43;3;3;3;5;5;3;3;4;Q61;Q62;Oui;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Non;Oui;;Baccalauréat;90;Mécanique;;Un homme;;Étudiant étranger;;
1021;206.167.243.2;Non;Non;Non;Oui;Non;Non;;;;;;;;;;;;;;;;;Non;Oui;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Oui;Oui;Oui;Non;;Baccalauréat;30;Géologique;;Une femme;;Citoyen canadien;;
1022;10.200.9.206;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Non;Non;Oui;Non;Non;Oui;Oui;Non;;Non;Non;Oui;Oui;Oui;Non;Non;;Baccalauréat;95;Électrique;;Une femme;;Citoyen canadien;;Continuez de faire des sondages, c'est vraiment cool :)
1024;69.159.170.129;Peut-être;Oui;Oui;Oui;Non;Non;;;;Q42;Q43;Q44;1;1;5;4;4;4;4;4;Q62;Q61;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Non;Non;Non;Non;Oui;;Baccalauréat;60;Logiciel;;Un homme;;Citoyen canadien;;
1027;96.127.242.218;Non;Oui;Non;Non;Non;Non;;;;;;;;;;;;;;;;;Non;Non;Oui;Non;Non;Non;Non;Non;;Oui;Non;Non;Non;Oui;Oui;Non;;Baccalauréat;30;Biomédical;;Une femme;;Citoyen canadien;;
1036;70.82.240.128;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Oui;Oui;Oui;Non;Non;Non;Non;Non;;Oui;Non;Oui;Oui;Non;Non;Non;;Baccalauréat;50;Civil;;Une femme;;Citoyen canadien;;
1037;50.21.142.30;Peut-être;Non;Non;Non;Non;Oui;;;;Q46;Q47;Q41;3;5;;4;4;3;4;3;Q62;Q61;Oui;Non;Oui;Non;Oui;Oui;Non;Non;;Oui;Oui;Non;Non;Oui;Non;Non;;Baccalauréat;85;Électrique;;Un homme;;Citoyen canadien;;
1041;74.14.134.228;Peut-être;Oui;Oui;Non;Non;Non;;;;Q45;Q41;Q48;4;3;3;5;2;4;4;3;Q62;Q61;Oui;Non;Oui;Oui;Non;Non;Non;Non;;Non;Non;Oui;Non;Non;Oui;Oui;;Baccalauréat;92;Logiciel;;Un homme;;Citoyen canadien;;
1046;23.91.240.165;Non;Non;Oui;Oui;Non;Non;;;;;;;;;;;;;;;;;Non;Non;Non;Oui;Oui;Non;Oui;Non;;Oui;Oui;Non;Non;Non;Non;Non;;Baccalauréat;10;Informatique;;Un homme;;Citoyen canadien;;
1057;24.200.125.151;Non;Oui;Non;Non;Non;Non;;;;;;;;;;;;;;;;;Oui;Non;Non;Non;Oui;Oui;Non;Non;;Non;Oui;Non;Non;Non;Non;Non;;Baccalauréat;108;Mécanique;;Un homme;;Citoyen canadien;;
1060;96.20.118.53;Oui;Oui;Oui;Oui;Non;Non;;;;Q46;Q48;Q45;5;5;5;4;5;5;5;5;Q64;Q62;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Oui;Oui;Non;Non;Non;;Baccalauréat;27;Mécanique;;Un homme;;Étudiant étranger;;
1064;70.82.82.77;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Non;Oui;Oui;Non;Oui;Non;Non;Non;;Oui;Oui;Non;Non;Oui;Non;Non;;Baccalauréat;111;Chimique;;Une femme;;Citoyen canadien;;
1067;104.251.42.233;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Non;Non;Oui;Oui;Non;Non;;Baccalauréat;61;Civil;;Une femme;;Citoyen canadien;;
1082;132.204.216.23;Oui;Oui;Oui;Non;Non;Non;;;;Q42;Q41;Q45;3;3;3;3;;3;3;3;Q64;Q61;Non;Non;Oui;Non;Non;Non;Non;Non;;Non;Non;Oui;Oui;Oui;Non;Non;;Baccalauréat;30;Autre;Année préparatoire;Ne souhaite pas répondre;;Étudiant étranger;;
1087;135.19.56.72;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;;Oui;Non;Oui;Non;Oui;Non;Non;;Baccalauréat;52;Aérospatial;;Un homme;;Citoyen canadien;;
1089;70.30.235.250;Non;Oui;Oui;Non;Non;Non;;;;;;;;;;;;;;;;;Non;Non;Non;Non;Non;Oui;Non;Non;;Oui;Oui;Oui;Non;Non;Non;Non;;Baccalauréat;30;Mécanique;;Un homme;;Étudiant étranger;;
1091;173.178.40.57;Non;Non;Oui;Non;Oui;Non;;;;;;;;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Oui;Oui;Non;Non;Non;Non;;Baccalauréat;30;Physique;;Un homme;;Citoyen canadien;;
1093;216.252.93.168;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Oui;Non;Oui;Non;Non;Oui;Oui;Non;;Non;Non;Oui;Oui;Non;Non;Non;;Baccalauréat;120;Chimique;;Un homme;;Citoyen canadien;;
